pair_idx,protein,region,direction,baseline_margin,patched_margin,shift
32,protein1,peak,random_into_real,-1.5046348571777344,-1.5015735626220703,0.0030612945556640625
32,protein1,control,real_into_random,-1.3977575302124023,-1.3969650268554688,0.0007925033569335938
32,protein1,control,random_into_real,-1.5046348571777344,-1.5049810409545898,-0.00034618377685546875
32,protein2,peak,real_into_random,-1.3977575302124023,-1.398712158203125,-0.0009546279907226562
32,protein2,peak,random_into_real,-1.5046348571777344,-1.5071544647216797,-0.0025196075439453125
32,protein2,control,real_into_random,-1.3977575302124023,-1.3986291885375977,-0.0008716583251953125
32,protein2,control,random_into_real,-1.5046348571777344,-1.5038623809814453,0.0007724761962890625
33,protein1,peak,real_into_random,-1.635420799255371,-1.6347265243530273,0.00069427490234375
33,protein1,peak,random_into_real,-1.1074132919311523,-1.1078615188598633,-0.0004482269287109375
33,protein1,control,real_into_random,-1.635420799255371,-1.6347122192382812,0.0007085800170898438
33,protein1,control,random_into_real,-1.1074132919311523,-1.1081037521362305,-0.000690460205078125
33,protein2,peak,real_into_random,-1.635420799255371,-1.6361474990844727,-0.0007266998291015625
33,protein2,peak,random_into_real,-1.1074132919311523,-1.1065378189086914,0.0008754730224609375
33,protein2,control,real_into_random,-1.635420799255371,-1.635869026184082,-0.0004482269287109375
33,protein2,control,random_into_real,-1.1074132919311523,-1.106985092163086,0.00042819976806640625
34,protein1,peak,real_into_random,-1.6483526229858398,-1.6495370864868164,-0.0011844635009765625
34,protein1,peak,random_into_real,2.299480438232422,2.297414779663086,-0.0020656585693359375
34,protein1,control,real_into_random,-1.6483526229858398,-1.6483526229858398,0.0
34,protein1,control,random_into_real,2.299480438232422,2.299480438232422,0.0
34,protein2,peak,real_into_random,-1.6483526229858398,-1.645277976989746,0.00307464599609375
34,protein2,peak,random_into_real,2.299480438232422,2.295762062072754,-0.0037183761596679688
34,protein2,control,real_into_random,-1.6483526229858398,-1.6484603881835938,-0.00010776519775390625
34,protein2,control,random_into_real,2.299480438232422,2.3012771606445312,0.001796722412109375
35,protein1,peak,real_into_random,-1.5154094696044922,-1.5116329193115234,0.00377655029296875
35,protein1,peak,random_into_real,4.584613800048828,4.617362022399902,0.03274822235107422
35,protein1,control,real_into_random,-1.5154094696044922,-1.5155277252197266,-0.000118255615234375
35,protein1,control,random_into_real,4.584613800048828,4.572291374206543,-0.012322425842285156
35,protein2,peak,real_into_random,-1.5154094696044922,-1.4819259643554688,0.03348350524902344
35,protein2,peak,random_into_real,4.584613800048828,4.563721656799316,-0.02089214324951172
35,protein2,control,real_into_random,-1.5154094696044922,-1.51812744140625,-0.0027179718017578125
35,protein2,control,random_into_real,4.584613800048828,4.609539031982422,0.02492523193359375
36,protein1,peak,real_into_random,-2.1742067337036133,-2.173590660095215,0.0006160736083984375
36,protein1,peak,random_into_real,0.8047618865966797,0.8006229400634766,-0.004138946533203125
36,protein1,control,real_into_random,-2.1742067337036133,-2.173084259033203,0.0011224746704101562
36,protein1,control,random_into_real,0.8047618865966797,0.8026866912841797,-0.0020751953125
36,protein2,peak,real_into_random,-2.1742067337036133,-2.1521902084350586,0.022016525268554688
36,protein2,peak,random_into_real,0.8047618865966797,0.8280858993530273,0.023324012756347656
36,protein2,control,real_into_random,-2.1742067337036133,-2.1749582290649414,-0.000751495361328125
36,protein2,control,random_into_real,0.8047618865966797,0.7946329116821289,-0.010128974914550781
37,protein1,peak,real_into_random,-1.440774917602539,-1.4400644302368164,0.0007104873657226562
37,protein1,peak,random_into_real,6.474792957305908,6.47998046875,0.005187511444091797
37,protein1,control,real_into_random,-1.440774917602539,-1.441065788269043,-0.00029087066650390625
37,protein1,control,random_into_real,6.474792957305908,6.473122596740723,-0.0016703605651855469
