dataset,pair_idx,region,layer,mean_margin
RRS,13,c_term,4,-0.5791171709696452
RRS,13,c_term,5,-0.2022321065266927
RRS,13,c_term,6,-0.04943685531616211
RRS,13,c_term,7,0.12338299751281738
RRS,13,c_term,8,0.31046897570292153
RRS,13,c_term,9,0.21046075820922852
RRS,13,c_term,10,0.10802666346232097
RRS,14,n_term,0,-1.2374586900075277
RRS,14,n_term,1,-1.3787476380666097
RRS,14,n_term,2,-1.0669304847717285
RRS,14,n_term,3,-0.7061987559000651
RRS,14,n_term,4,-0.5880147616068522
RRS,14,n_term,5,-0.04594118595123291
RRS,14,n_term,6,-0.32487009366353353
RRS,14,n_term,7,-0.4239957014719645
RRS,14,n_term,8,-0.1565982659657796
RRS,14,n_term,9,-0.2886630058288574
RRS,14,n_term,10,-1.5979373931884766
RRS,14,middle,0,-1.9015915592511494
RRS,14,middle,1,-2.049505527814229
RRS,14,middle,2,-1.6311792691548666
RRS,14,middle,3,-1.0671494166056315
RRS,14,middle,4,-0.9265162785847981
RRS,14,middle,5,-0.863520336151123
RRS,14,middle,6,-0.9427181879679362
RRS,14,middle,7,-0.7665286699930827
RRS,14,middle,8,-0.7062556902567546
RRS,14,middle,9,-0.7125399589538575
RRS,14,middle,10,-0.7880777041117351
RRS,14,c_term,0,-2.2325392087300617
RRS,14,c_term,1,-2.523828315734863
RRS,14,c_term,2,-1.7076174736022949
RRS,14,c_term,3,-1.20633331934611
RRS,14,c_term,4,-0.7808285713195801
RRS,14,c_term,5,-0.691720453898112
RRS,14,c_term,6,-0.6940231005350749
RRS,14,c_term,7,-0.6355209668477376
RRS,14,c_term,8,-0.4913876215616862
RRS,14,c_term,9,-0.5164368629455567
RRS,14,c_term,10,-0.36694666544596355
RRS,15,n_term,0,-1.5703734358151753
RRS,15,n_term,1,-1.5883768916130065
RRS,15,n_term,2,-1.5189659436543783
RRS,15,n_term,3,-1.1600427150726318
RRS,15,n_term,4,-0.9675065279006958
RRS,15,n_term,5,-0.730337655544281
RRS,15,n_term,6,-0.7329256375630696
RRS,15,n_term,7,-0.5909534931182862
RRS,15,n_term,8,-0.4554114500681559
RRS,15,n_term,9,-0.3779867172241211
RRS,15,n_term,10,-0.664986769358317
RRS,15,middle,0,-2.246415650844574
RRS,15,middle,1,-2.4261821111043296
RRS,15,middle,2,-1.5801875750223795
RRS,15,middle,3,-0.6977981567382813
RRS,15,middle,4,-1.0330745061238606
RRS,15,middle,5,-1.7055764198303223
RRS,15,middle,6,-1.6236343383789062
RRS,15,middle,7,-1.5595729192097982
RRS,15,middle,8,-1.102941099802653
RRS,15,middle,9,-1.0250631332397462
RRS,15,middle,10,-0.8790437698364257
RRS,15,c_term,0,-1.9530982891718547
RRS,15,c_term,1,-2.16636731227239
RRS,15,c_term,2,-1.273127794265747
RRS,15,c_term,3,-0.8338185310363769
RRS,15,c_term,4,-0.7620877901713053
RRS,15,c_term,5,-0.8790094574292501
RRS,15,c_term,6,-1.225175937016805
RRS,15,c_term,7,-0.8597306569417318
RRS,15,c_term,8,-0.6097050031026204
RRS,15,c_term,9,-0.4033909479777018
RRS,15,c_term,10,-0.42212254206339517
RRS,16,n_term,0,-1.517787265777588
RRS,16,n_term,1,-1.5581343332926432
RRS,16,n_term,2,-1.3444379488627116
RRS,16,n_term,3,-0.7765780131022135
RRS,16,n_term,4,-0.817499287923177
RRS,16,n_term,5,-0.7599530537923177
RRS,16,n_term,6,-0.8320119698842366
RRS,16,n_term,7,-0.8034534454345703
RRS,16,n_term,8,-0.6325042088826497
RRS,16,n_term,9,-0.6081112861633301
RRS,16,n_term,10,-0.8547492980957031
RRS,16,middle,0,-1.7770597378412882
