dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,6,c_term,2,-0.728660766283671,0.9872393012046814
real_PRS,6,c_term,3,-0.29912357330322265,0.9872393012046814
real_PRS,6,c_term,4,-0.15215212504069012,0.9872393012046814
real_PRS,6,c_term,5,0.030003833770751952,0.9872393012046814
real_PRS,6,c_term,6,-0.08507572809855143,0.9872393012046814
real_PRS,6,c_term,7,-0.06573365529378256,0.9872393012046814
real_PRS,6,c_term,8,0.03876775105794271,0.9872393012046814
real_PRS,6,c_term,9,-0.1416902224222819,0.9872393012046814
real_PRS,6,c_term,10,-0.32370796203613283,0.9872393012046814
real_PRS,6,middle,0,-1.8783782958984374,0.9872393012046814
real_PRS,6,middle,1,-1.8325819889704387,0.9872393012046814
real_PRS,6,middle,2,-1.1397841731707254,0.9872393012046814
real_PRS,6,middle,3,-0.9032192230224609,0.9872393012046814
real_PRS,6,middle,4,-0.8421111742655436,0.9872393012046814
real_PRS,6,middle,5,-0.35751616160074867,0.9872393012046814
real_PRS,6,middle,6,-0.33582820892333987,0.9872393012046814
real_PRS,6,middle,7,-0.28866755167643227,0.9872393012046814
real_PRS,6,middle,8,-0.18720178604125975,0.9872393012046814
real_PRS,6,middle,9,-0.08974212010701497,0.9872393012046814
real_PRS,6,middle,10,0.035144901275634764,0.9872393012046814
real_PRS,7,n_term,0,-1.5362911780675252,0.9982020854949951
real_PRS,7,n_term,1,-1.7726290941238403,0.9982020854949951
real_PRS,7,n_term,2,-1.4851442654927571,0.9982020854949951
real_PRS,7,n_term,3,-0.8250571250915527,0.9982020854949951
real_PRS,7,n_term,4,-0.7269181251525879,0.9982020854949951
real_PRS,7,n_term,5,-0.44109678268432617,0.9982020854949951
real_PRS,7,n_term,6,-0.6457830746968587,0.9982020854949951
real_PRS,7,n_term,7,-0.7256670316060384,0.9982020854949951
real_PRS,7,n_term,8,-0.5948760668436687,0.9982020854949951
real_PRS,7,n_term,9,-0.6257369677225749,0.9982020854949951
real_PRS,7,n_term,10,-0.8061744054158528,0.9982020854949951
real_PRS,7,c_term,0,-2.191749906539917,0.9982020854949951
